ID,HowRare.is,MoonRank
595,7560,7498
596,3568,3468
597,1623,2124
598,4699,4111
599,5764,5093
600,4855,5532
601,1696,2883
602,1947,1508
603,8215,8594
604,3330,2766
605,725,274
606,2932,5506
607,2899,4856
608,330,430
609,3354,2489
610,6950,7638
611,5991,5740
612,5459,5153
613,3337,2770
614,5053,4392
615,8394,7962
616,953,462
617,2438,1778
618,4354,3688
619,7029,8835
620,548,175
621,5866,5178
622,6623,6151
623,8729,8706
624,3655,2875
625,4551,3879
626,8647,8667
627,4753,3968
628,8908,9182
629,7770,8440
630,5399,4673
631,6110,5285
632,3591,3078
633,2254,2035
634,2661,1981
635,7417,6829
636,3079,3718
637,622,308
638,1651,1223
639,2281,1961
640,935,951
641,1894,1408
642,9891,9733
643,8504,8051
644,4098,3415
645,3326,3910
646,1603,1151
647,469,267
648,2449,1895
649,2262,1708
650,8406,8209
651,7781,6770
652,9248,8288
653,,10015
654,3183,3503
655,3928,3341
656,1071,1092
657,2798,2250
658,5066,5351
659,4976,4145
660,5406,4466
661,5954,5803
662,7983,7158
663,2038,1530
664,2133,3501
665,4279,4266
666,1604,1148
667,1926,1569
668,7306,6749
669,433,631
670,7536,6590
671,9746,9268
672,7162,7473
673,2818,4869
674,847,859
675,5411,4741
676,8010,7091
677,5172,4788
678,2440,1779
679,5278,5482
680,2198,3046
681,3480,2922
682,2625,2582
683,1685,1256
684,2711,2300
685,9850,9766
686,2514,2007
687,2576,3285
688,1090,664
689,1423,1650
690,2048,1646
691,5397,4467
692,4246,3640
693,1657,1272
694,7307,6752
695,587,336
696,,9981
697,3097,4365
698,2383,1849
699,810,621
700,2433,1780
701,2275,3061
702,739,1262
703,,10021
704,5034,4390
705,2880,4419
706,6269,6149
707,1594,1168
708,,9986
709,346,103
710,4154,3970
711,1131,1165
712,1732,1175
713,6759,6135
714,4496,4013
715,1754,1361
716,836,504
717,8101,7578
718,145,2349
719,566,186
720,2047,1405
721,1313,2325
722,1528,1626
723,2700,2329
724,4334,3536
725,1239,795
726,6118,5282
727,496,926
728,44,557
729,226,229
730,8543,8077
731,2217,1816
732,8128,7791
733,9196,9772
734,959,453
735,7740,7286
736,1080,598
737,3474,2836
738,9899,9719
739,3314,2654
740,5306,6604
741,4727,3939
742,3985,4712
743,949,647
744,1030,948
745,14,493
746,8658,8366
747,1722,1311
748,932,944
749,3999,3426
750,1144,1215
751,4255,4830
752,7274,7525
753,4456,3998
754,3259,3056
755,3992,3172
756,9720,9365
757,2628,5014
758,390,170
759,9752,9890
760,75,1583
761,2222,1676
762,1488,1614
763,7530,8055
764,3077,2439
765,2704,2301
766,9988,9973
767,,10020
768,9897,9720
769,4321,3667
770,266,191
771,2579,1845
772,1031,2889
773,240,124
774,8241,7438
775,2606,2095
776,8542,8073
777,619,1551
778,7965,7560
779,8395,7963
780,1833,1246
781,5011,5916
782,6640,6730
783,1483,1615
784,3773,2946
785,4057,3565
786,940,938
787,1942,4143
788,3682,3176
789,2611,2096
790,6073,6593
791,2145,1636
792,5736,5030
793,5986,5741
794,4718,3766
795,8526,8233
796,8342,8647
797,706,421
798,4263,3618
799,3858,4564
800,8494,8267
801,6101,5946
802,8110,7579
803,382,164
804,5987,5255
805,4460,3999
806,2735,2212
807,688,417
808,3637,3153
809,2045,1406
810,9680,9093
811,7295,6747
812,1477,1616
813,2863,2240
814,31,9
815,7479,7645
816,7938,8736
817,6151,5782
818,1002,1064
819,2768,2738
820,8505,8046
821,998,542
822,1749,1357
823,202,886
824,255,87
825,5962,5807
826,1953,1506
827,5398,4664
828,6293,5398
829,5887,5830
830,5773,5089
831,740,605
832,3060,3040
833,7474,8001
834,3405,2549
835,9367,8429
836,2795,2831
837,3524,2730
838,942,1031
839,1353,1409
840,3427,2670
841,4512,3699
842,8389,7964
843,1484,1617
844,4937,4663
845,2123,1621
846,3778,3138
847,3620,2959
848,2305,4263
849,7154,6429
850,1526,1140
851,3676,4804
852,6531,6519
853,1341,908
854,8323,8186
855,2767,3584
856,4957,5939
857,1918,1402
858,1041,551
859,9498,9449
860,4088,3880
861,5512,4679
862,5207,4236
863,742,591
864,3715,3118
865,407,156
866,1770,2290
867,2,2
868,818,286
869,6243,5811
870,2273,1709
871,8601,8841
872,1166,2127
873,4320,3668
874,1287,830
875,1968,2305
876,4048,3440
877,9362,8425
878,463,867
879,5324,4615
880,9476,8947
881,4577,5138
882,8045,7788
883,3988,4353
